student_id,course_code,comment,sentiment
100002,DS100,Week to week the course felt clear. The pace was about right for me. Recordings appeared a few days late.,positive
100004,DS100,Really engaging lecturer. The course itself was poorly organised.,negative
100005,DS100,I found the course hard to follow. The pace was not right for me. The dataset used in labs was helpful.,negative
100011,DS100,The lab sessions were well structured. The capstone was the best part. The reading list was long.,positive
100012,DS100,"Not clear at all in week 1, but it became well structured later on.",positive
100016,DS100,I found the course not well structured. More worked examples would help. The reading list was long.,negative
100017,DS100,Teaching on this course was poorly organised. More worked examples would help. Recordings appeared a few days late.,negative
100018,DS100,"Well organised, though I struggled to keep up after week 6. The worked examples helped a lot.",positive
100020,DS100,I found the course clear and well paced. The pace was about right for me. The dataset used in labs was helpful.,positive
100022,DS100,The lectures were disconnected from the labs. The pace was not right for me. The module ran on Tuesday mornings.,negative
100023,DS100,Week to week the course felt hard to follow. The pace was not right for me. The dataset used in labs was helpful.,negative
100024,DS100,Really engaging lecturer. The course itself was poorly organised.,negative
100026,DS100,The lab sessions were clear. Feedback on assignments was fast and useful. Attendance was taken every week.,positive
100028,DS100,The material was disconnected from the labs. I never understood the modelling week. The module ran on Tuesday mornings.,negative
100029,DS100,"Well organised, though I struggled to keep up after week 6. The worked examples helped a lot.",positive
100030,DS100,The lab sessions were very well organised. The worked examples helped a lot. Recordings appeared a few days late.,positive
100032,DS100,Week to week the course felt the best this term. The worked examples helped a lot. Assessment deadlines clustered in week 10.,positive
100033,DS100,I found the course not clear at all. The statistics section needed more time. Attendance was taken every week.,negative
100034,DS100,The material was very well organised. The pace was about right for me. Recordings appeared a few days late.,positive
100037,DS100,Week to week the course felt clear and well paced. Feedback on assignments was fast and useful. The reading list was long.,positive
100038,DS100,The lab sessions were genuinely excellent. The capstone was the best part. Attendance was taken every week.,positive
100040,DS100,The best part was the capstone. Everything before it was hard to follow.,negative
100041,DS100,Week to week the course felt very well organised. The worked examples helped a lot. The module ran on Tuesday mornings.,positive
100042,DS100,The lectures were not clear at all. The pace was not right for me. The module ran on Tuesday mornings.,negative
100044,DS100,I found the course really engaging. The capstone was the best part. The reading list was long.,positive
100046,DS100,The lab sessions were far too fast. I struggled to keep up after week 6. Rooms were sometimes too small.,negative
100047,DS100,The lab sessions were really engaging. I would recommend it to next year's cohort. The dataset used in labs was helpful.,positive
100049,DS100,The lab sessions were the best this term. The pace was about right for me. The reading list was long.,positive
100051,DS100,"Well organised, though I struggled to keep up after week 6. The worked examples helped a lot.",positive
100054,DS100,Overall the module was not clear at all. I never understood the modelling week. The reading list was long.,negative
100056,DS100,"Well organised, though I struggled to keep up after week 6. The worked examples helped a lot.",positive
100057,DS100,The lab sessions were well structured. Feedback on assignments was fast and useful. The reading list was long.,positive
100060,DS100,Week to week the course felt the best this term. Feedback on assignments was fast and useful. The module ran on Tuesday mornings.,positive
100061,DS100,Teaching on this course was disconnected from the labs. The pace was not right for me. Attendance was taken every week.,negative
100062,DS100,The lab sessions were disconnected from the labs. The pace was not right for me. Recordings appeared a few days late.,positive
100064,DS100,The material was very well organised. The worked examples helped a lot. Attendance was taken every week.,positive
100066,DS100,The lab sessions were disconnected from the labs. I never understood the modelling week. Recordings appeared a few days late.,negative
100068,DS100,The lab sessions were poorly organised. The pace was not right for me. Assessment deadlines clustered in week 10.,negative
100069,DS100,The lectures were clear but the labs were rushed at the end. I would still recommend it.,positive
100070,DS100,Week to week the course felt very well organised. The capstone was the best part. The dataset used in labs was helpful.,positive
100071,DS100,Overall the module was really engaging. I would recommend it to next year's cohort. The reading list was long.,positive
100073,DS100,The lectures were really engaging. The pace was about right for me. Recordings appeared a few days late.,positive
100075,DS100,The material was clear and well paced. Feedback on assignments was fast and useful. The module ran on Tuesday mornings.,positive
100078,DS100,Really engaging lecturer. The course itself was poorly organised.,negative
100080,DS100,I found the course disconnected from the labs. More worked examples would help. The module ran on Tuesday mornings.,negative
100082,DS100,I found the course far too fast. The statistics section needed more time. Recordings appeared a few days late.,negative
100083,DS100,The lab sessions were clear and well paced. I would recommend it to next year's cohort. The reading list was long.,positive
100084,DS100,Overall the module was disconnected from the labs. The statistics section needed more time. Rooms were sometimes too small.,negative
100085,DS100,Overall the module was poorly organised. I never understood the modelling week. The reading list was long.,negative
100090,DS100,The material was far too fast. I never understood the modelling week. The module ran on Tuesday mornings.,positive
100091,DS100,Week to week the course felt poorly organised. I never understood the modelling week. The reading list was long.,negative
